  e7 | 01/26/2012 | 11:00:45 | Critical Interrupt #0x05 | 
  e8 | 01/26/2012 | 11:00:46 | Critical Interrupt #0x05 | 
  e9 | 02/01/2012 | 11:35:26 | System Event #0x83 | Timestamp Clock Sync | Asserted
  ea | 02/01/2012 | 11:35:43 | System Event #0x83 | Timestamp Clock Sync | Asserted
  eb | 02/01/2012 | 11:36:12 | System Event #0x83 | OEM System boot event | Asserted
  ec | 02/01/2012 | 11:36:53 | Critical Interrupt #0x05 | 
  ed | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  ee | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  ef | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  f0 | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  f1 | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  f2 | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  f3 | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  f4 | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  f5 | 02/01/2012 | 11:36:54 | Critical Interrupt #0x05 | 
  f6 | 02/02/2012 | 12:01:23 | Power Supply #0x50 | Predictive failure | Asserted
  f7 | 02/02/2012 | 12:01:23 | Power Unit #0x01 | Failure detected | Asserted
  f8 | 02/02/2012 | 12:01:24 | Power Unit #0x01 | Power off/down | Asserted
  f9 | 02/02/2012 | 12:01:24 | Power Supply #0x50 | Predictive failure | Deasserted
  fa | 02/02/2012 | 12:01:24 | Power Supply #0x50 | Power Supply AC lost | Asserted
  fb | 02/02/2012 | 12:01:24 | Voltage #0xdd | Lower Non-critical going low 
  fc | 02/02/2012 | 12:01:24 | Voltage #0xdd | Lower Critical going low 
  fd | 02/02/2012 | 12:04:10 | Power Unit #0x01 | AC lost | Asserted
  fe | 02/02/2012 | 12:04:10 | Processor #0x70 | Presence detected | Asserted
  ff | 02/02/2012 | 12:04:10 | Processor #0x71 | Presence detected | Asserted
 100 | 02/02/2012 | 12:04:11 | Power Unit #0x01 | AC lost | Deasserted
 101 | 02/02/2012 | 12:04:23 | System Event #0x83 | Timestamp Clock Sync | Asserted
 102 | 02/02/2012 | 12:04:23 | System Event #0x83 | Timestamp Clock Sync | Asserted
 103 | 02/02/2012 | 12:04:56 | System Event #0x83 | OEM System boot event | Asserted
 104 | 02/02/2012 | 12:05:39 | Critical Interrupt #0x05 | 
 105 | 02/02/2012 | 12:05:39 | Critical Interrupt #0x05 | 
 106 | 02/02/2012 | 12:05:39 | Critical Interrupt #0x05 | 
 107 | 02/02/2012 | 12:05:39 | Critical Interrupt #0x05 | 
 108 | 02/02/2012 | 12:05:39 | Critical Interrupt #0x05 | 
 109 | 02/02/2012 | 12:05:40 | Critical Interrupt #0x05 | 
 10a | 02/02/2012 | 12:05:40 | Critical Interrupt #0x05 | 
 10b | 02/02/2012 | 12:05:40 | Critical Interrupt #0x05 | 
 10c | 02/02/2012 | 12:05:40 | Critical Interrupt #0x05 | 
 10d | 02/02/2012 | 12:05:40 | Critical Interrupt #0x05 | 
 10e | 02/04/2012 | 08:15:07 | System Event #0x83 | Timestamp Clock Sync | Asserted
 10f | 02/04/2012 | 08:15:07 | System Event #0x83 | Timestamp Clock Sync | Asserted
 110 | 02/04/2012 | 08:15:42 | System Event #0x83 | OEM System boot event | Asserted
 111 | 02/04/2012 | 08:16:23 | Critical Interrupt #0x05 | 
 112 | 02/04/2012 | 08:16:23 | Critical Interrupt #0x05 | 
 113 | 02/04/2012 | 08:16:23 | Critical Interrupt #0x05 | 
 114 | 02/04/2012 | 08:16:23 | Critical Interrupt #0x05 | 
 115 | 02/04/2012 | 08:16:24 | Critical Interrupt #0x05 | 
 116 | 02/04/2012 | 08:16:24 | Critical Interrupt #0x05 | 
 117 | 02/04/2012 | 08:16:24 | Critical Interrupt #0x05 | 
 118 | 02/04/2012 | 08:16:24 | Critical Interrupt #0x05 | 
 119 | 02/04/2012 | 08:16:24 | Critical Interrupt #0x05 | 
 11a | 02/04/2012 | 08:16:24 | Critical Interrupt #0x05 | 
 11b | 02/09/2012 | 10:30:02 | Power Unit #0x01 | Power off/down | Asserted
 11c | 02/09/2012 | 10:30:04 | Voltage #0xdd | Lower Non-critical going low 
 11d | 02/09/2012 | 10:30:04 | Voltage #0xdd | Lower Critical going low 
 11e | 02/09/2012 | 10:30:08 | Power Unit #0x01 | Power off/down | Deasserted
 11f | 02/09/2012 | 10:30:10 | Voltage #0xdd | Lower Critical going low 
 120 | 02/09/2012 | 10:30:10 | Voltage #0xdd | Lower Non-critical going low 
 121 | 02/09/2012 | 10:30:21 | System Event #0x83 | Timestamp Clock Sync | Asserted
 122 | 02/09/2012 | 10:30:21 | System Event #0x83 | Timestamp Clock Sync | Asserted
 123 | 02/09/2012 | 10:31:07 | System Event #0x83 | OEM System boot event | Asserted
 124 | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 125 | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 126 | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 127 | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 128 | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 129 | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 12a | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 12b | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 12c | 02/09/2012 | 10:31:51 | Critical Interrupt #0x05 | 
 12d | 02/09/2012 | 10:31:52 | Critical Interrupt #0x05 | 
 12e | 02/09/2012 | 11:09:38 | System Event #0x83 | Timestamp Clock Sync | Asserted
 12f | 02/09/2012 | 11:09:38 | System Event #0x83 | Timestamp Clock Sync | Asserted
 130 | 02/09/2012 | 11:10:09 | System Event #0x83 | OEM System boot event | Asserted
 131 | 02/16/2012 | 10:25:58 | System Event #0x83 | Timestamp Clock Sync | Asserted
 132 | 02/16/2012 | 10:26:17 | System Event #0x83 | Timestamp Clock Sync | Asserted
 133 | 02/16/2012 | 10:26:46 | System Event #0x83 | OEM System boot event | Asserted
